cluster	topic	roleset	prop name	prop rol desc	arg0	arg1	argL	argT	example
emit | provide | give	36	issue.01	emit, emit/provide	0: issuer | 1: thing issued	Wally Opal	state.01	Bountiful	NA	BC ATTORNEY GENERAL WALLY OPAL <m> ISSUED </m> A STATEMENT TODAY SAYING THAT TWO MEN , WINSTON BLACKMORE AND JAMES OLER , HAD BEEN ARRESTED `` ON CHARGES OF POLYGAMY PURSUANT TO THE CRIMINAL CODE . ''
caution | announce | warn	37	issue.01	emit, emit/provide	0: issuer | 1: thing issued	NA	warn.01	Indonesia's Aceh	07	A powerful 6 . 1 - magnitude earthquake struck the Indonesian province of Aceh with no tsunami warning <m> issued </m>
problematic | affair | concern	44	issue.02	problematic state	0: stimulus of problematic state -- thing that is a problem | 1: experiencer of problematic state -- who has a problem with 0?	neutral.02	HP			Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration snafus over vendor neutrality <m> issues </m> , business lines , culture shock and layoffs .
happen | affair | occur	39	it.01	phonetic reduction of 'hit' (strike)	0: animate! agentive hitter | 1: thing hit					When the 26-year-old unknown was unveiled as the 11th Doctor on Saturday evening , <m> it </m> took most viewers by surprise .
happen | affair | occur	41	it.01	phonetic reduction of 'hit' (strike)	0: animate! agentive hitter | 1: thing hit					The bombing has drawn international condemnation , with the EU calling <m> it </m> `` completely unacceptable . ''
attach | connect | integrate	43	join.01	attach, connect things together	0: agent, entity doing the tying | 1: first thing being tied	AMD	SeaMicro			We are excited to have SeaMicro <m> join </m> AMD .
murder | hurt | assault	45	kill.01	cause to die, murder	0: killer | 1: corpse	Christopher Kenyon Simpson	Ka'loni Flynn		8 April 2012	LeFlore Jury : Simpson Guilty Of <m> Killing </m> Pregnant Girlfriend
murder | hurt | assault	37	kill.01	cause to die, murder	0: killer | 1: corpse	earthquake.02	person	Papua	07	A strong earthquake rattled Indonesia 's West Papua province Wednesday just days after a powerful quake levelled buildings and <m> killed </m> one person , the United States Geological Survey said .
murder | hurt | assault	41	kill.01	cause to die, murder	0: killer | 1: corpse	forces	people	Gaza	1	Pressure to obtain a ceasefire in Gaza has been mounting , with the EU warning Israel it was `` destroying '' its image , while Israeli forces on Tuesday ( 6 January ) <m> killed </m> at least 40 people during an attack on a United Nations-run school in Gaza .
realize | believe | understand	42	know.01	be cognizant of, realize	0: knower | 1: fact that is known		come.01			Rumors have been floating for weeks now and we <m> knew </m> the 8900 would be coming sometime in early '09 and tonight T-Mobile has made it official .
realize | believe | understand	39	know.01	be cognizant of, realize	0: knower | 1: fact that is known	NA	his role	NA	08	Scottish actor best <m> known </m> for his role as Malcolm Tucker in The Thick of It revealed as 12th actor to play the Doctor
crash | end | stop	41	land.01	bring to land, from water or air, or metaphorical extension: (cause to) end up in a location	0: bringer, captain, pilot, agent | 1: thing landing	NA	bombs	Yida	11	Four bombs were dropped within just a few moments - two <m> landed </m> inside the camp itself , while the other two bombs were dropped near the airstrip where a UN helicopter was delivering much needed food aid .
obtain | get | receive	44	land.02	get	0: getter, lander | 1: thing gotten, landed	HP	EYP			HP <m> lands </m> green datacenter consultant EYP
earthquake | flood | disaster	37	landslide.01	natural disaster: landslide	1: land (substance sliding)	Indonesia's Aceh	NA	Indonesia's Aceh	07	A powerful earthquake in Indonesia's Aceh province flattened buildings and sparked <m> landslides </m> Tuesday , killing at least five people and injuring dozens in a region devastated by the quake - triggered tsunami of 2004 .
big | size | great	38	large.01	very big	1: big thing	earthquake.02	NA	eastern Sonoma County	NA	A 4.2 magnitude earthquake shook a remote area of eastern Sonoma County on Sunday morning , the <m> largest </m> in a flurry over the weekend , according to the U.S. Geological Survey .
extend | continue | carry_on	45	last.01	extend for some period of time; duration	1: thing that lasts		try.02			The Times Record reported Friday that trial is expected to <m> last </m> several days .
start | initiate | begin	42	launch.01	set off, introduce, bring up, start, take off	0: starter, agent | 1: thing being launched	T-Mobile	launch.01	NA	04	BlackBerry Q10 Preorders <m> Launch </m> on T - Mobile April 29
introduce | show | start	40	launch.01	set off, introduce, bring up, start, take off	0: starter, agent | 1: thing being launched	Apple	MacBook Pros	San Francisco	06	Apple <m> launches </m> new MacBook Pros with Ivy Bridge , from $1 , 199
fire | release | discharge	44	lay_off.02	fire, let go from employement	0: (former) employer | 1: (former) employee	HP	HP employees			Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration snafus over vendor neutrality issues , business lines , culture shock and <m> layoffs </m> .
fire | release | discharge	43	lay_off.02	fire, let go from employement	0: (former) employer | 1: (former) employee	ATI				Hartog said the purchase of ATI by AMD will involve ' some changes ' but he downplayed any potential <m> lay-offs </m> from among the company 's more than 3,000 employees .
execute | perform | do	37	lead.01	directed motion, be ahead of	0: leader | 1: in the lead of	soldiers and police	operate.01	Indonesia	07	Soldiers and police are <m> leading </m> rescue operations in Indonesia after a 6 . 1 magnitude earthquake hit Aceh province leaving 24 dead and over 200 injured .
execute | perform | do	39	lead.01	directed motion, be ahead of	0: leader | 1: in the lead of	Tom Fletcher	congratulate.01	NA	NA	Peter Capaldi Takes Over Doctor Who Tardis : John Barrowman , Stephen Fry & McFly's Tom Fletcher <m> Lead </m> Celeb Congrats
introduce | initiate | show	44	lead.02	act as project leader, be the leader	0: leader | 1: entity lead	Mark Hurd	HP			The all-cash deal , announced Tuesday , represents HP 's biggest gamble under the <m> leadership </m> of Mark Hurd , who was hired as chief executive in March 2005 to turn around the maker of personal computers and printers .
introduce | initiate | show	40	lead.02	act as project leader, be the leader	0: leader | 1: entity lead	Apple	Macbook Pro	NA	06	Apple has unveiled its new <m> flagship </m> laptop : The Next Generation Macbook Pro .
result | factor | contribute	37	lead.03	cause a result	0: factors | 1: led entity	earthquake.02	shelter.01	Papua	NA	The powerful quakes in Papua in easternmost of Indonesia on Sunday have <m> led </m> over 14,000 people taking shelters in tents , destroyed hundreds of buildings , killed one person and injured dozens others , local disaster management agency said on Monday .
hear | understand | know	45	learn.01	learn, absorbing information	0: student | 1: subject	Scott Peterson	sentence.01		13 December 2004	Upon <m> learning </m> of his death sentence , Scott Peterson sat defiantly still and tight-jawed , the same vacant expression he wore throughout a murder trial in which he never spoke .
hear | understand | know	39	learn.01	learn, absorbing information	0: student | 1: subject	fans	play.02	NA	NA	This weekend Doctor Who fans finally <m> learned </m> who would play the eleventh Doctor after David Tennant leaves the role .
result | cause | come_about	37	leave.13	resulting from an event or situation	0: event/condition causing arg2 to happen | 1: new state (may involve concatenation)	earthquake.02	dead.01	Indonesia's Aceh	07	Soldiers and police are leading rescue operations in Indonesia after a 6 . 1 magnitude earthquake hit Aceh province <m> leaving </m> 24 dead and over 200 injured .
result | cause | come_about	41	leave.13	resulting from an event or situation	0: event/condition causing arg2 to happen | 1: new state (may involve concatenation)	strike.01	dead.01	Gaza	NA	No militants were inside a United Nations-run school attacked by Israeli forces in Gaza , <m> leaving 40 people dead </m> , the UN says .
abandon | give_up | retire	39	leave.15	abandon something in exchange for another; permanently leave an association/relationship/way of living	0: abandoner, entity leaving the relationship/organization | 1: person, thing abandoned (CANNOT be a location; use leave.11 instead)	David Tennant	show	NA	XX	Matt Smith , 26 , will make his debut in 2010 , replacing David Tennant , who <m> leaves </m> at the end of this year .
allow | concede | permiss	43	let.01	allow	0: allower | 1: action allowed	acquire.01	expand.01			The acquisition will <m> let </m> AMD expand its position in the commercial desktop and mobile computing markets , two areas where the company has not had much success .
flatten | demolish | destroy	37	level.01	cause to become level	0: cause, agent | 1: thing becoming level	earthquake.02	buildings	Indonesia's Aceh	07	A strong earthquake rattled Indonesia 's West Papua province Wednesday just days after a powerful quake <m> levelled </m> buildings and killed one person , the United States Geological Survey said .
cap | stop | restrict	43	limit.01	ensure something stays below a certain level, cap, keep below a ceratin level	0: agent, limiter | 1: thing limited		benefit.01			Even though the takeover looks fairly valued , RBC analyst Steve Arthur said there is <m> limited </m> upside to the offer unless competing bids are made for ATI .
exclude | prevent | stop	43	lock_out.05	exclude, locked _out	0: agent, entity being excluding | 1: thing excluded	merge.01	ATI			The merger also could <m> lock ATI out </m> of the business of supplying graphics chipsets to Intel-based PCs , worth about $ 90 million a year in revenue .
decrease | fall | squander	41	lose.01	decrease, fall	1: logical subject, patient, thing falling	life	NA	Gaza	NA	Doctors in Gaza said more than 40 people died , including children , in what appears to be the biggest single <m> loss of life </m> of the campaign when Israeli bombs hit al-Fakhora school , in Jabaliya refugee camp , while it was packed with hundreds of people who had fled the fighting .
build | create | construct	42	make.01	create	0: creator | 1: creation					On Monday , we reported on rumors that T-Mobile would release the RIM BlackBerry Curve 8900 on February 11 , and while the date has not been confirmed , the carrier did go ahead and <m> make </m> the official product announcement on Tuesday .
build | create | construct	43	make.01	create	0: creator | 1: creation	AMD	microchips			The pitched battle for supremacy in the <m> chip-making market </m> reached a critical phase yesterday with Advanced Micro Devices ( AMD ) in Sunnyvale , Calif . announcing its decision to acquire Canadian graphic cards manufacturer ATI Technologies ( ATI ) .
cause | force | push	42	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	T-Mobile	official.01		6 January 2009	Rumors have been floating for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile has <m> made it official </m> .
cause | force | push	44	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	HP	acquire.01			Hewlett - Packard <m> makes </m> another acquisition , chases IBM
cause | force | push	43	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	AM	move.02		6 January 2009	Our view of the Advanced Micro Devices / ATI Technologies deal is that it 's the last major move AMD needed to <m> make </m> to match Intel 's breadth in the processor market ( now that Intel has shed its communications processor business ) .
cause | force | push	36	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	RCMP	arrest.01	Bountiful	NA	RCMP <m> MAKE </m> ARRESTS IN BC POLYGAMOUS COMMUNITY
cause | force | push	39	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	NA	take_over.12	NA	NA	A relative unknown will take over the title role of Doctor Who in the British science fiction television show , <m> making </m> him the 11th time lord in 45 years to travel across the universe in the Tardis time-ship .
cause | force | push	40	make.02	cause (to be)	0: impeller to action | 1: impelled action/ predication	Apple	hardware conference	NA	06	Apple is certainly <m> making </m> WWDC a hardware conference this year - - it just unveiled a refresh of the existing MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day .
arrive | come | debut	39	make.18	arrive at, achieve	0: achiever, agent | 1: goal	Matt Smith	debut.01	NA	NA	Matt Smith , 26 , will <m> make </m> his debut in 2010 , replacing David Tennant , who leaves at the end of this year .
supervise | control | watch	44	manage.01	supervise, control	0: manager | 1: thing managed	HP	data			Hewlett-Packard is negotiating to buy technology services provider Electronic Data Systems in a deal that could help the world 's largest personal computer maker snap up more <m> data management </m> and consulting contracts .
stain | trace | tag	36	mark.02	make a mark	0: agent, marker | 1: mark	RCMP	NA	British Colombia	NA	Shields said both Oler and Blackmore were arrested Wednesday morning without incident by eight plainclothes RCMP officers in <m> unmarked </m> vehicles .
sell | offer | retail 	44	market.01	try to sell, offer for sale, promote a product	0: Seller | 1: Thing Sold	HP	technology services			In response to <m> market </m> rumors , Electronic Data Systems Corporation announces that it is in advanced discussions regarding a possible business combination transaction with Hewlett-Packard Company .
sell | offer | retail 	43	market.01	try to sell, offer for sale, promote a product	0: Seller | 1: Thing Sold		servers			AMD has completed its acquisition of SeaMicro as part of its strategy to regain lost server <m> market </m> share from Intel and better position itself against future competition from ARM - based players such as Nvidia .
wed | hitch | tie	36	marry.01	to take as a spouse, to join spouses, combine   agreeably, combine	0: causer | 1: one half	Warren Jeffs	NA	Arizona	06	Five years ago , Warren Jeffs was charged with sex crimes resulting from the <m> polygamous marriages </m> he arranged for his followers in the Fundamentalist Church of Jesus Christ of Latter Day Saints ( FLDS ) .
compete | fight | battle	43	match.03	competition	0: first competitor | 1: second competitor	Advanced Micro Devices (AMD)	Intel	NA	NA	Our view of the Advanced Micro Devices / ATI Technologies deal is that it 's the last major move AMD needed to make to <m> match </m> Intel 's breadth in the processor market ( now that Intel has shed its communications processor business ) .
signal | convey | indicate	45	mean.01	signal, convey	0: agent | 1: element containing meaning		verdict.01			Scott Peterson has been found guilty of first-degree murder , a verdict that <m> means </m> he could be executed if these same jurors vote as the `` conscience of their community '' that he deserves to die for his crimes .
signal | convey | indicate	44	mean.01	signal, convey	0: agent | 1: element containing meaning	purchase.01	tough.02			Hewlett-Packard 's purchase of Electronic Data Systems could <m> mean </m> tougher competition for IBM and its 10,500 Triangle employees .
confer | discuss | convene	41	meet.03	get together (with), come together spatially, get together	0: one party | 1: other party	UN Security Council	NA	NA	NA	An Israeli mortar strike that killed about 40 Palestinians sheltering in a UN school Tuesday brought new urgency to diplomatic efforts to end Israel 's military onslaught in the Gaza Strip , as the UN Security Council <m> met </m> to discuss the crisis .
combine | mix | incorporate	44	merge.01	combine, mix	0: agent, mixer | 1: ingredient one	HP	HP		26 August 2008	For high-end enterprise IT services before this <m> merger </m> , the market consisted of IBM and everybody else .
combine | mix | incorporate	43	merge.01	combine, mix	0: agent, mixer | 1: ingredient one	AMD	ATI			`` You wo n't see it tomorrow , but the <m> merger </m> will potentially put AMD on a more equal footing with Intel , '' said Michelle Warren , an analyst with Evans Research in Toronto .
send | deliver | state	43	message.01	send a message via chat function on a phone/computer	0: person communicating a message, agent | 1: message itself	ATI executives	benefit.01			The marketing <m> message </m> from ATI executives too is all about the 'mutual benefits ' of the proposed acquisition .
move | go | leave	43	migrate.01	to change location	0: entity in motion | 1: path, border being crossed	AMD				AMD Announces Strategic Investment to Accelerate <m> Cloud Server Strategy </m>
absent | lack | disappear	37	miss.01	long for, be lacking, absence noted with sadness	0: misser, entity/plac/source that lacks arg1 | 1: thing longed for, thing lacking	earthquake.02	NA	Indonesia's Aceh	07	A strong earthquake struck Indonesia's Aceh province on Tuesday , killing at least one person and leaving two others <m> missing </m> .
cause | inspire | encourage	45	motivate.01	impelled action, giving inspiration	0: motivation | 1: impelled agent	affair.01	Scott Peterson			Peterson was found guilty because jurors believed he had a <m> motive </m> to kill his wife and that Peterson 's conduct -- before , during and after Laci Peterson 's disappearance -- was too suspicious to be purely coincidental .
climb | build | rise	39	mount.02	non-intentional climber; cf rise	1: climber	speculate.01	NA	NA	NA	Just hours after little-known actor Matt Smith was named as the new Doctor in the BBC Wales hit show , speculation <m> mounted </m> that a star name would accompany him on his time-travelling adventures .
climb | build | rise	41	mount.02	non-intentional climber; cf rise	1: climber	pressure.01	NA	Gaza	NA	Pressure to obtain a ceasefire in Gaza has been <m> mounting </m> , with the EU warning Israel it was `` destroying '' its image , while Israeli forces on Tuesday ( 6 January ) killed at least 40 people during an attack on a United Nations-run school in Gaza .
stab | take | effort	43	move.02	take measures, put forth strategic effort toward a goal	0: mover | 1: measures	AMD	deal.01			Our view of the Advanced Micro Devices / ATI Technologies deal is that it 's the last major <m> move </m> AMD needed to make to match Intel 's breadth in the processor market ( now that Intel has shed its communications processor business ) .
progress | advance | develop	36	move.02	take measures, put forth strategic effort toward a goal	0: mover | 1: measures	police	arrest.01	Bountiful	NA	POLICE HAVE <m> MOVED IN </m> AND ARRESTED AT LEAST TWO MEN FROM THE RELIGIOUS COMMUNITY OF BOUNTIFUL IN THE BC INTERIOR .
progress | advance | develop	41	move.02	take measures, put forth strategic effort toward a goal	0: mover | 1: measures	Israel	explain.01	Jabaliya	NA	Israel <m> moved </m> quickly to explain the attack on the Jabalya school , saying its forces had been fired on first .
kill | hurt | injure	45	murder.01	cause to die	0: killer | 1: corpse	Christopher Kenyon Simpson	Ka'loni Flynn		8 April 2012	An Oklahoma jury has found 27 year old Christopher Simpson guilty of <m> first degree murder </m> of his then pregnant 20 year old girlfriend Ka'loni Flynn and their 12 week unborn child .
label | call | appoint	45	name.01	call, giving a name	0: namer | 1: named	Scott Peterson	unborn fetus			On November 12 , a jury in Redwood City , California , convicted Scott Peterson of first-degree murder in the death of his wife , 23-year-old Laci , and second-degree murder in the death of his 8-month-old unborn son , whom the couple were planning to <m> name </m> Conner .
appoint | assign | cast	39	name.03	to appoint to  an office, assign a role	0: Person appointing another | 1: Person named, appointed	NA	Matt Smith	NA	NA	Just hours after little-known actor Matt Smith was <m> named </m> as the new Doctor in the BBC Wales hit show , speculation mounted that a star name would accompany him on his time-travelling adventures .
require | demand | necessitate	44	need.01	need, required, necessary	0: needer | 1: thing needed	acquire.01	approve.01			Bill Ritz , EDS spokesman , pointed out that Hewlett-Packard 's acquisition of EDS still <m> needs </m> the approval of regulators and EDS ' stockholders .
require | demand | necessitate	43	need.01	need, required, necessary	0: needer | 1: thing needed	AMD	move.02			Our view of the Advanced Micro Devices / ATI Technologies deal is that it 's the last major move AMD <m> needed </m> to make to match Intel 's breadth in the processor market ( now that Intel has shed its communications processor business ) .
require | demand | necessitate	41	need.01	need, required, necessary	0: needer | 1: thing needed	camp	food	Yida	11	Four bombs were dropped within just a few moments - two landed inside the camp itself , while the other two bombs were dropped near the airstrip where a UN helicopter was delivering much <m> needed </m> food aid .
deal | work_out | arrange	44	negotiate.01	work out terms of agreement	0: negotiator | 1: explicit other party	HP	EDS			Hewlett-Packard is <m> negotiating </m> to buy technology services provider Electronic Data Systems in a deal that could help the world 's largest personal computer maker snap up more data management and consulting contracts .
indifferent | objective | average	44	neutral.02	indifferent	0: entity without strong feelings | 1: indifferent about or towards	HP	vendors			Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration snafus over vendor <m> neutrality </m> issues , business lines , culture shock and layoffs .
start | create | construct	40	new.01	be newly created; recently come into being	1: new object	MacBook Pro	NA	San Francisco	06	Apple unveils <m> new </m> MacBook Pro with Ivy Bridge at WWDC
noteworthy | remarkable | note	44	newsworthy.01	worthy of telling	1: news		buy.01			Hewlett - Packard to buy consulting firm EYP Mission Critical Facilities <m> news </m>
follow | succeed | promote	39	next.03	succeed	1: entity being promoted	Peter Capaldi	Doctor Who	NA	07	Peter Capaldi is the bookies' favourite to become the <m> next </m> Doctor Who .
noteworthy | remarkable | newsworthy	44	note.01	to say or take a note of	0: noter | 1: utterance	Mark Hurd	seek.01			While Hurd could not say when the deal would close , he <m> noted </m> that HP is already looking at ways to integrate its software and services portfolio with EDS ' business .
noteworthy | remarkable | newsworthy	43	note.01	to say or take a note of	0: noter | 1: utterance	Canadian analyst Eddie Chan	likely.01			Another Canadian analyst <m> noted </m> that the merger was likely to bring significant benefits to both companies .
complain | retort | respond	36	object.01	complain about	0: complainer | 1: thing objected to	Warren Jeffs	tapes	Texas	08	Texas jury hears Warren Jeffs sex tapes despite FLDS leader's <m> objections </m>
get | acquire | come_by	41	obtain.01	get	0: receiver | 1: thing gotten	Gaza	ceasefire.01	Gaza	NA	Pressure to <m> obtain </m> a ceasefire in Gaza has been mounting , with the EU warning Israel it was `` destroying '' its image , while Israeli forces on Tuesday ( 6 January ) killed at least 40 people during an attack on a United Nations-run school in Gaza .
be | inhabit | settle	41	occupy.01	be in a certain place	0: occupier | 1: occupied	militants	school	Jabaliya	NA	No militants were <m> inside </m> a United Nations-run school attacked by Israeli forces in Gaza , leaving 40 people dead , the UN says .
happen | take_place | come_about	38	occur.01	occur, take place	1: event	earthquake.02	northeast of Healdsburg	northeast of Healsburg	03	The quake <m> occurred </m> at 2 : 09 a . m . , about 14 miles northeast of Healdsburg , on the Maacama Fault with a depth of 12 miles .
strike | attack | hit	41	offense.02	making an attack	0: the offense (attackers) | 1: the defense (victims/targets)	Israeli	people	Gaza	NA	The civilian death toll in Gaza increased dramatically today , with reports of more than 40 Palestinians killed after missiles exploded outside a UN school where hundreds of people were sheltering from the continuing Israeli <m> offensive </m> .
give | provide | supply	42	offer.01	transaction, proposal	0: entity offering | 1: commodity	T-Mobile	data service	NA	02	T-Mobile has announced it will be carrying the BlackBerry Curve 8900 smartphone this February ... although it will not <m> offer </m> 3G data service .
give | provide | supply	44	offer.01	transaction, proposal	0: entity offering | 1: commodity	HP	technology services			Hewlett-Packard CEO Mark Hurd believes that the $ 13 billion acquisition of Electronic Data Systems will help build out HP 's enterprise <m> services offerings </m> and `` accelerate '' the company 's reach into new accounts , he said .
give | provide | supply	43	offer.01	transaction, proposal	0: entity offering | 1: commodity	AMD	ATI			Even though the takeover looks fairly valued , RBC analyst Steve Arthur said there is limited upside to the <m> offer </m> unless competing bids are made for ATI .
give | provide | supply	40	offer.01	transaction, proposal	0: entity offering | 1: commodity	battery	operate.01	NA	NA	The firm announced a widely expected refresh of its 17in MacBook Pro , with a battery that the firm said will <m> offer </m> eight hours of operation , but which is not removable from the case .
earthquake | occur | disaster	38	one.01	unified, as a single entity	1: single entity	earthquake.02	NA	California Geysers	NA	<m> This one </m> is pretty rare for the Geysers .
free | agape | cause	43	open.01	(cause to) become open; change of state, free for passage/entry	0: opener | 1: thing opening	AMD	front.01			Advanced Micro Devices Inc. shook up the personal computer industry by buying ATI Technologies Inc. for US $ 5.4-billion yesterday , <m> opening up </m> a new front in the battle with Intel Corp. to control the computer chip market .
work | attempt | effort	44	operate.01	cf work, working (of something)	0: agent, operator | 1: thing operated	EDS		South Charleston		It 's too early to tell what impact - if any - Hewlett-Packard Co. 's decision to acquire Electronic Data Systems Corp. will have on EDS ' <m> operations </m> in South Charleston , an EDS spokesman said .
work | attempt | effort	37	operate.01	cf work, working (of something)	0: agent, operator | 1: thing operated	NA	rescue.01	Indonesia	07	Soldiers and police are leading <m> rescue operations </m> in Indonesia after a 6 . 1 magnitude earthquake hit Aceh province leaving 24 dead and over 200 injured .
work | use | run	40	operate.01	cf work, working (of something)	0: agent, operator | 1: thing operated	NA	17in MacBook Pro	NA	NA	The firm announced a widely expected refresh of its 17in MacBook Pro , with a battery that the firm said will offer eight hours of <m> operation </m> , but which is not removable from the case .
command | ask | request	36	order.01	impelled action	0: forcer | 1: impelled agent	NA	polygamous leaders	Canada	NA	Polygamous leaders arrested in Canada , <m> ordered </m> to surrender passports
surpass | exceed | outdo	43	outperform.01	perform better	0: better performer | 1: other performer	ATI	sector			RBC Capital Markets downgraded ATI Technologies to `` sector perform '' from `` <m> outperform </m> '' after Advanced Micro Devices announced its intention to buy the Canadian graphics chip-maker for $ 5.4 billion on Monday .
late | delay | wait 	40	overdue.01	still needed, but never actually scheduled	1: recipient	MacBook line	refresh.01	San Francisco	06	Apple's MacBook line , particularly certain portions of it , have been <m> overdue </m> for a refresh .
surpass | exceed | pass	43	overtake.01	surpass, go past	0: thing going beyond | 1: thing left in the dust	AMD	Intel			The deal , which had been anticipated for over a year , gives AMD high-end graphics technology and bolsters the company 's strategy to <m> overtake </m> Intel as the dominant supplier of chips that power personal computers and other devices .
fill | load | jam	41	pack.01	fill, load	0: packer, agent | 1: beast of burden	NA	people	Jabaliya	NA	Doctors in Gaza said more than 40 people died , including children , in what appears to be the biggest single loss of life of the campaign when Israeli bombs hit al-Fakhora school , in Jabaliya refugee camp , while it was <m> packed </m> with hundreds of people who had fled the fighting .
surprise | shock | fear	37	panic.01	be all afluster, cause to be terrified	0: stimulus | 1: poor fearful entity	earthquake.02	people	Indonesia's Aceh	07	A strong 6 . 1 - magnitude earthquake struck the northwestern Indonesian province of Aceh on Tuesday , the US Geological Survey said , sending people running into the streets <m> in panic </m> .
join | associate | cooperate	42	partner.01	partner	0: first partnerer | 1: second partnerer, if separate from Arg0	T-Mobile	BlackBerry	NA	05	T - Mobile continues to add to its growing line - up of 4G LTE devices by <m> partnering </m> with BlackBerry to bring customers the BlackBerry Q10 .
join | associate | cooperate	43	partner.01	partner	0: first partnerer | 1: second partnerer, if separate from Arg0	SeaMicro	Intel			AMD is paying US$334 million for SeaMicro , which until now was in a tight <m> partnership </m> with Intel to develop dense servers .
buy | purchase | bid	44	pay.01	cf buy and sell, pay for, pay for again	0: payer or buyer | 1: money or attention	HP	EYP			The <m> financial details </m> of the acquisition were not disclosed .
buy | purchase | bid	43	pay.01	cf buy and sell, pay for, pay for again	0: payer or buyer | 1: money or attention	AMD	$281 million			AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be <m> paid </m> in cash .
carry_out | implement | do	43	perform.02	carry out a task or action	0: agent, entity doing task | 1: action/tasks performed, kind of tasks done	ATI	do_business.01			RBC Capital Markets downgraded ATI Technologies to `` <m> sector perform </m> '' from `` outperform '' after Advanced Micro Devices announced its intention to buy the Canadian graphics chip-maker for $ 5.4 billion on Monday .
acquire | obtain | get	42	pick_up.04	pick up: acquire	0: agent, entity acquiring something | 1: thing acquired	T-Mobile	BlackBerry Curve 8900	NA	NA	T-Mobile is bolstering its smartphone portfolio by <m> picking up </m> Research In Motion ( NSDQ : RIMM ) 's next-generation BlackBerry Curve .
bother | pester | trouble	41	plague.01	bother, pester, trouble	0: botherer, agent | 1: bothered	Sudan	South Sudan	South Sudan's Unity state	11	A refugee camp in South Sudan's Unity state was bombed Thursday , South Sudan officials and witnesses said , threatening to raise tensions with Sudan in the <m> violence - plagued </m> border region .
expect | plan | scheme	42	plan.01	expect	0: planner | 1: thing planned	T-Mobile	exclusive.02			T-Mobile USA <m> plans </m> it own exclusive BlackBerry with the introduction of the BlackBerry Curve 8900 in February .
expect | plan | scheme	45	plan.01	expect	0: planner | 1: thing planned	Scott Peterson	name.01			On November 12 , a jury in Redwood City , California , convicted Scott Peterson of first-degree murder in the death of his wife , 23-year-old Laci , and second-degree murder in the death of his 8-month-old unborn son , whom the couple were <m> planning </m> to name Conner .
expect | plan | scheme	44	plan.01	expect	0: planner | 1: thing planned	Hewlett-Packard	technology	NA	11	Electronics manufacturer Hewlett - Packard ( hp . com ) announced on Tuesday that it has signed a definitive agreement to acquire EYP Mission Critical Facilities ( eypmcf . com ) , a consulting company that specializes in strategic technology <m> planning </m> , design and operations support for large - scale data centers .
perform | act | be	39	play.02	play a role	0: actor | 1: role	Matt Smith	time lord	NA	XX	Smith will <m> play </m> the time lord in 2010 .
factor | consider | review	36	play.08	play into: be a factor	0: thing factoring in, subject in active clauses | 1: thing being factored into	audio recording	intercourse.01	Texas	08	Prosecutors also <m> played </m> an audio recording of Jeffs allegedly engaging in sexual intercourse with the 12 - year - old .
beg | ask | request	45	plead.01	beg	0: begger, appealer | 1: appealed to, begged from	Christopher Kenyon Simpson	jury	Oklahoma		An Oklahoma man has <m> pleaded </m> not guilty to two first - degree murder charges for the deaths of an Arkansas woman and her fetus .
exemplify | represent | say	44	point_out.02	point at, define, make an example of	0: pointer | 1: pointed at	EDS spokesman Bill Ritz	need.01			Bill Ritz , EDS spokesman , <m> pointed out </m> that Hewlett-Packard 's acquisition of EDS still needs the approval of regulators and EDS ' stockholders .
play | act | be	39	portray.01	label	0: labeller | 1: item being labelled	NA	hero	NA	NA	With young British actor Matt Smith stepping into Doctor Who 's title role , Wired.com takes a look back at the 10 actors who have previously <m> portrayed </m> sci-fi TV 's most enduring hero .
situate | put | place	43	position.01	put in a particular location, or describe	0: agent, putter | 1: thing positioned, often REC	AMD	AMD			AMD has completed its acquisition of SeaMicro as part of its strategy to regain lost server market share from Intel and better <m> position </m> itself against future competition from ARM - based players such as Nvidia .
optimistic | free | good	43	positive.02	optimistic	0: stimulus of optimism, generally good thing | 1: optimist	pan_out.02	Intel			Maybe that 's why Intel and Nvidia ( NVDA ) , the companies ' two biggest rivals , found a lot to <m> smile </m> about on July 24 , the day the deal was announced .
